exchange,uptake,growth
EX_nh4_e,10,True
EX_no2_e,10,True
EX_no3_e,10,True
EX_urea_e,10,True
EX_ala__L_e,10,False
EX_arg__L_e,10,False
EX_asn__L_e,10,True
EX_asp__L_e,10,False
EX_cys__L_e,10,False
EX_glu__L_e,10,False
EX_gln__L_e,10,True
EX_gly_e,10,False
EX_his__L_e,10,True
EX_ile__L_e,10,False
EX_leu__L_e,10,False
EX_lys__L_e,10,False
EX_met__L_e,10,False
EX_phe__L_e,10,False
EX_pro__L_e,10,False
EX_ser__L_e,10,False
EX_thr__L_e,10,False
EX_trp__L_e,10,False
EX_tyr__L_e,10,False
EX_val__L_e,10,False
EX_ala__D_e,10,False
EX_ser__D_e,10,False
EX_hom__L_e,10,False
EX_orn_e,10,False
EX_etha_e,10,False
EX_ptrc_e,10,False
EX_agm_e,10,False
EX_peamn_e,10,False
EX_tym_e,10,False
EX_gam_e,10,False
EX_acgam_e,10,False
EX_acgal_e,10,False
EX_acmana_e,10,False
EX_ade_e,10,False
EX_adn_e,10,False
EX_cytd_e,10,False
EX_csn_e,10,False
EX_gua_e,10,False
EX_gsn_e,10,False
EX_thym_e,10,False
EX_thymd_e,10,False
EX_ura_e,10,False
EX_uri_e,10,False
EX_ins_e,10,False
EX_xan_e,10,False
EX_xtsn_e,10,False
EX_alltn_e,10,False
