gene,essential
Avin_13890,False
Avin_13950,False
Avin_13980,True
Avin_14020,False
Avin_14030,False
Avin_14040,False
Avin_14050,False
Avin_14070,False
Avin_14080,False
Avin_14130,False
Avin_14190,False
Avin_14220,False
Avin_14240,False
Avin_14260,False
Avin_14330,False
Avin_14340,False
Avin_14350,False
Avin_14440,False
Avin_14450,False
Avin_14540,False
Avin_14590,False
Avin_14600,False
Avin_14610,False
Avin_14620,False
Avin_14630,False
Avin_14640,False
Avin_14670,False
Avin_14700,False
Avin_14760,True
Avin_14780,False
Avin_14790,False
Avin_14800,True
Avin_14900,False
Avin_14910,True
Avin_14920,True
Avin_14930,False
Avin_14940,False
Avin_14950,False
Avin_14970,False
Avin_15050,False
Avin_15080,False
Avin_15110,False
Avin_15120,False
Avin_15130,False
Avin_15140,False
Avin_15190,False
Avin_15250,False
Avin_15420,False
Avin_15440,False
Avin_15450,False
Avin_15490,False
Avin_15540,False
Avin_15680,False
Avin_15710,False
Avin_15720,False
Avin_15760,False
Avin_15770,False
Avin_15800,False
Avin_15820,True
Avin_15830,False
Avin_15840,False
Avin_15850,False
Avin_15860,True
Avin_15920,False
Avin_15930,False
Avin_15940,False
Avin_15950,False
Avin_16180,False
Avin_16230,False
Avin_16260,False
Avin_16310,False
Avin_16360,False
Avin_16380,False
Avin_16390,False
Avin_16410,False
Avin_16420,False
Avin_16440,False
Avin_16580,False
Avin_16610,False
Avin_16620,False
Avin_16630,False
Avin_16650,False
Avin_16690,False
Avin_16700,False
Avin_16870,False
Avin_16890,False
Avin_17120,False
Avin_17300,False
Avin_17350,False
Avin_17360,False
Avin_17440,False
Avin_17510,False
Avin_17520,False
Avin_17560,False
Avin_17570,False
Avin_17620,False
Avin_17630,False
Avin_17650,False
Avin_17660,False
Avin_17670,False
Avin_17690,False
Avin_17740,False
Avin_17850,False
Avin_17880,False
Avin_18010,False
Avin_18020,False
Avin_18040,False
Avin_18430,False
Avin_18440,False
Avin_18460,False
Avin_18520,False
Avin_18540,False
Avin_18560,False
Avin_18570,False
Avin_18680,False
Avin_18690,False
Avin_18700,False
Avin_18730,False
Avin_18740,False
Avin_18900,True
Avin_19150,False
Avin_19190,False
Avin_19220,False
Avin_19230,False
Avin_19240,False
Avin_19250,False
Avin_19260,True
Avin_19270,False
Avin_19280,False
Avin_19500,False
Avin_19530,False
Avin_19610,False
Avin_19620,False
Avin_19630,False
Avin_19640,False
Avin_19650,False
Avin_19760,False
Avin_19770,False
Avin_19780,False
Avin_19790,False
Avin_19800,False
Avin_19880,False
Avin_19890,False
Avin_19920,False
Avin_19950,False
Avin_20040,False
Avin_20090,True
Avin_20110,True
Avin_20210,False
Avin_20220,False
Avin_20240,False
Avin_20300,False
Avin_20340,False
Avin_20360,False
Avin_20380,False
Avin_20420,True
Avin_20460,True
Avin_20470,True
Avin_20590,False
Avin_20600,False
Avin_20630,False
Avin_20670,False
Avin_20800,False
Avin_20830,False
Avin_20840,False
Avin_20980,False
Avin_21000,False
Avin_21010,False
Avin_21100,False
Avin_21130,False
Avin_21180,False
Avin_21200,False
Avin_21210,False
Avin_21220,False
Avin_21230,False
Avin_21300,False
Avin_21350,False
Avin_21440,False
Avin_21450,False
Avin_21460,False
Avin_21470,False
Avin_21490,False
Avin_21510,False
Avin_21530,False
Avin_21600,False
